RowNumber	App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver	row_num
1408	10 Best Foods for You	HEALTH_AND_FITNESS	4.00	2490.00	3.80	500000.00	Free	0.00	Everyone 10+	Health & Fitness	2017-02-17	1.9	2.3.3 and up	2
2323	1800 Contacts - Lens Store	MEDICAL	4.70	23160.00	26.00	1000000.00	Free	0.00	Everyone	Medical	2018-07-27	7.4.1	5.0 and up	2
2257	2017 EMRA Antibiotic Guide	MEDICAL	4.40	12.00	3.80	1000.00	Paid	16.99	Everyone	Medical	2017-01-27	1.0.5	4.0.3 and up	2
1338	21-Day Meditation Experience	HEALTH_AND_FITNESS	4.40	11506.00	15.00	100000.00	Free	0.00	Everyone	Health & Fitness	2018-08-02	3.0.0	4.1 and up	2
3084	365Scores - Live Scores	SPORTS	4.60	666521.00	25.00	10000000.00	Free	0.00	Everyone	Sports	2018-07-29	5.5.9	4.1 and up	2
2523	420 BZ Budeze Delivery	MEDICAL	5.00	2.00	11.00	100.00	Free	0.00	Mature 17+	Medical	2018-06-06	1.0.1	4.1 and up	2
1704	8 Ball Pool	GAME	4.50	14198602.00	52.00	100000000.00	Free	0.00	Everyone	Sports	2018-07-31	4.0.0	4.0.3 and up	2
1971	8 Ball Pool	GAME	4.50	14201604.00	52.00	100000000.00	Free	0.00	Everyone	Sports	2018-07-31	4.0.0	4.0.3 and up	3
1756	8 Ball Pool	GAME	4.50	14200344.00	52.00	100000000.00	Free	0.00	Everyone	Sports	2018-07-31	4.0.0	4.0.3 and up	4
1845	8 Ball Pool	GAME	4.50	14200550.00	52.00	100000000.00	Free	0.00	Everyone	Sports	2018-07-31	4.0.0	4.0.3 and up	5
1872	8 Ball Pool	GAME	4.50	14201891.00	52.00	100000000.00	Free	0.00	Everyone	Sports	2018-07-31	4.0.0	4.0.3 and up	6
3954	8 Ball Pool	SPORTS	4.50	14184910.00	52.00	100000000.00	Free	0.00	Everyone	Sports	2018-07-31	4.0.0	4.0.3 and up	7
1297	8fit Workouts & Meal Planner	HEALTH_AND_FITNESS	4.60	115721.00	67.00	10000000.00	Free	0.00	Everyone	Health & Fitness	2018-07-11	3.5.0	5.0 and up	2
